Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
AAL;AMERICAN AIRLINES, INC.;962;0;I;B789;295;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;01/11/24 23:00;01/11/24 21:56;KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA;02/11/24 09:30;02/11/24 08:09;REALIZADO;;01/11/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;963;0;I;B789;295;KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA;01/11/24 20:25;02/11/24 00:25;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/11/24 08:35;02/11/24 10:16;REALIZADO;;01/11/24 00:00;Atraso 120-240;Atraso 60-120
AAL;AMERICAN AIRLINES, INC.;964;0;I;B772;288;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;01/11/24 22:15;;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;02/11/24 07:00;;CANCELADO;;01/11/24 00:00;;
AAL;AMERICAN AIRLINES, INC.;973;0;I;B772;288;KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT - NEW YORK, NEW YORK - ESTADOS UNIDOS DA AMÉRICA;01/11/24 22:55;01/11/24 22:57;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;02/11/24 09:35;02/11/24 08:14;REALIZADO;;01/11/24 00:00;Pontual;Antecipado
AAL;AMERICAN AIRLINES, INC.;974;0;I;B772;288;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;01/11/24 23:00;;KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT - NEW YORK, NEW YORK - ESTADOS UNIDOS DA AMÉRICA;02/11/24 06:10;;CANCELADO;;01/11/24 00:00;;
AAL;AMERICAN AIRLINES, INC.;974;2;X;B772;272;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;;01/11/24 22:52;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;;02/11/24 08:30;REALIZADO;;01/11/24 00:00;;
AAL;AMERICAN AIRLINES, INC.;991;0;I;B788;295;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;01/11/24 21:55;01/11/24 21:47;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;02/11/24 06:20;02/11/24 06:06;REALIZADO;;01/11/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;995;0;I;B772;288;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;01/11/24 00:55;01/11/24 01:16;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;01/11/24 09:15;01/11/24 09:21;REALIZADO;;01/11/24 00:00;Pontual;Pontual
AAL;AMERICAN AIRLINES, INC.;904;0;I;B788;295;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;02/11/24 23:55;03/11/24 00:06;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;03/11/24 07:45;03/11/24 08:25;REALIZADO;;02/11/24 00:00;Pontual;Atraso 30-60
AAL;AMERICAN AIRLINES, INC.;905;0;I;B788;295;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;02/11/24 23:55;02/11/24 23:54;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;03/11/24 09:25;03/11/24 08:05;REALIZADO;;02/11/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;906;0;I;B77W;318;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/11/24 00:30;02/11/24 00:23;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;02/11/24 08:55;02/11/24 08:40;REALIZADO;;02/11/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;925;0;I;B772;288;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;02/11/24 23:50;02/11/24 23:58;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;03/11/24 08:10;03/11/24 08:20;REALIZADO;;02/11/24 00:00;Pontual;Pontual
