Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
AAL;AMERICAN AIRLINES, INC.;906;0;I;B772;288;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/09/24 23:15;02/09/24 23:12;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;03/09/24 07:45;03/09/24 07:08;REALIZADO;;02/09/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;929;0;I;B77W;318;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;02/09/24 20:50;;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;03/09/24 05:15;;CANCELADO;;02/09/24 00:00;;
AAL;AMERICAN AIRLINES, INC.;930;0;I;B77W;318;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/09/24 21:25;02/09/24 21:27;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;03/09/24 05:55;03/09/24 05:30;REALIZADO;;02/09/24 00:00;Pontual;Antecipado
AAL;AMERICAN AIRLINES, INC.;950;0;I;B772;288;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/09/24 22:00;03/09/24 01:41;KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT - NEW YORK, NEW YORK - ESTADOS UNIDOS DA AMÉRICA;03/09/24 07:55;03/09/24 11:25;REALIZADO;;02/09/24 00:00;Atraso 120-240;Atraso 120-240
AAL;AMERICAN AIRLINES, INC.;951;0;I;B772;288;KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT - NEW YORK, NEW YORK - ESTADOS UNIDOS DA AMÉRICA;02/09/24 23:35;02/09/24 23:31;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;03/09/24 09:15;03/09/24 09:05;REALIZADO;;02/09/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;962;0;I;B789;295;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/09/24 22:20;02/09/24 22:14;KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA;03/09/24 08:45;03/09/24 08:19;REALIZADO;;02/09/24 00:00;Antecipado;Antecipado
AAL;AMERICAN AIRLINES, INC.;963;0;I;B789;295;KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA;02/09/24 21:20;02/09/24 22:28;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;03/09/24 07:30;03/09/24 08:57;REALIZADO;;02/09/24 00:00;Atraso 60-120;Atraso 60-120
AAL;AMERICAN AIRLINES, INC.;995;0;I;B772;288;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;02/09/24 00:05;02/09/24 01:28;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;02/09/24 08:20;02/09/24 09:34;REALIZADO;;02/09/24 00:00;Atraso 60-120;Atraso 60-120
AAL;AMERICAN AIRLINES, INC.;9614;2;X;B789;285;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;;02/09/24 23:36;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;;03/09/24 07:35;REALIZADO;;02/09/24 00:00;;
AAL;AMERICAN AIRLINES, INC.;904;0;I;B772;288;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;03/09/24 23:00;04/09/24 09:52;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;04/09/24 07:35;04/09/24 18:28;REALIZADO;;03/09/24 00:00;Atraso > 240;Atraso > 240
